horizon_h,model,n_eval,pos_rate,auc,brier,logloss,ece,count_mae,count_rmse,count_crps
3,catboost_calibrated,4530,0.3289,0.797,0.1694,0.5291,0.0323,0.6064,2.1227,0.6064
3,catboost_raw,4530,0.3289,0.7975,0.1681,0.5006,0.0152,,,
3,hawkes_only,4530,0.3289,0.6569,0.2075,0.607,0.0353,,,
3,historical_rate,4530,0.3289,0.6039,0.2153,0.6219,0.0352,,,
6,catboost_calibrated,4500,0.5133,0.7821,0.1892,0.5646,0.0397,0.966,2.4735,0.966
6,catboost_raw,4500,0.5133,0.7813,0.2242,0.641,0.1729,,,
6,hawkes_only,4500,0.5133,0.6066,0.2466,0.6894,0.0674,,,
6,historical_rate,4500,0.5133,0.6028,0.2452,0.6841,0.0592,,,
9,catboost_calibrated,4470,0.6541,0.7729,0.1782,0.5497,0.0336,1.2486,3.0964,1.2486
9,catboost_raw,4470,0.6541,0.7724,0.1852,0.5557,0.086,,,
9,hawkes_only,4470,0.6541,0.5808,0.2307,0.6539,0.0767,,,
9,historical_rate,4470,0.6541,0.6159,0.2241,0.6399,0.0841,,,
